tier,toolbox,spec,attempts,hits,one_in
single,train,w-wing,1010000,111516,9
single,train,naked-pair,1010000,87522,11
single,train,xy-wing,1010000,88890,11
single,train,hidden-pair,1010000,39139,25
single,train,xyz-wing,1010000,21017,48
single,train,x-wing,2010000,16869,119
single,train,naked-triple,2010000,12036,166
single,train,hidden-triple,1210000,2143,564
single,train,swordfish,29210000,41867,697
single,train,naked-quad,10000000,2118,4721
single,train,jellyfish,35000000,1577,22194
single,train,hidden-quad,77505000,1181,65626
double,train,w-wing:2,250000,8408,29
double,train,xy-wing:2,250000,6160,40
double,train,naked-pair+w-wing,250000,6036,41
double,train,naked-pair:2,300000,6753,44
double,train,naked-pair+xy-wing,400000,6821,58
double,train,xy-wing+w-wing,400000,6196,64
double,train,hidden-pair+w-wing,650000,6493,100
double,train,x-wing+xy-wing,700000,5632,124
double,train,hidden-pair:2,700000,5391,129
double,train,hidden-pair+xy-wing,700000,4959,141
double,train,xyz-wing+w-wing,700000,4231,165
double,train,xy-wing+xyz-wing,700000,3891,179
double,train,naked-pair+xyz-wing,700000,3435,203
double,train,x-wing+w-wing,1150000,5634,204
double,train,xyz-wing:2,1150000,4552,252
double,train,naked-pair+hidden-pair,1150000,2649,434
double,train,naked-triple+w-wing,1150000,2518,456
double,train,naked-pair+x-wing,1150000,2468,465
double,train,x-wing+xyz-wing,1150000,2373,484
double,train,swordfish+xy-wing,1150000,2241,513
double,train,naked-triple+xy-wing,970000,1577,615
double,train,hidden-pair+xyz-wing,1070000,1600,668
double,train,swordfish+w-wing,1070000,1302,821
double,train,hidden-triple+w-wing,1540000,1372,1122
double,train,hidden-pair+x-wing,1540000,1275,1207
double,train,hidden-triple+xy-wing,1540000,1025,1502
double,train,swordfish+xyz-wing,1540000,755,2039
double,train,naked-pair+swordfish,1540000,753,2045
double,train,x-wing:2,1890000,889,2125
double,train,hidden-pair+naked-triple,1890000,668,2829
double,train,naked-triple:2,1890000,620,3048
double,train,naked-pair+naked-triple,1890000,577,3275
double,train,naked-triple+xyz-wing,1890000,546,3461
double,train,naked-triple+x-wing,1900000,425,4470
double,train,hidden-pair+swordfish,1900000,307,6188
double,train,hidden-triple+xyz-wing,1900000,276,6884
double,train,naked-quad+w-wing,1900000,249,7630
double,train,jellyfish+xy-wing,1900000,185,10270
double,train,naked-quad+xy-wing,1945000,143,13601
double,train,hidden-pair+hidden-triple,1945000,130,14961
double,train,jellyfish+w-wing,1945000,127,15314
double,train,naked-triple+swordfish,2000000,101,19801
double,train,hidden-triple+x-wing,2000000,93,21505
double,train,hidden-triple:2,2000000,73,27397
double,train,naked-pair+hidden-triple,2000000,73,27397
double,train,x-wing+swordfish,2000000,64,31250
double,train,swordfish:2,2000000,50,40000
double,train,jellyfish+xyz-wing,2000000,47,42553
double,train,naked-triple+hidden-triple,2000000,41,48780
double,train,naked-pair+jellyfish,2000000,32,62500
double,train,naked-quad+xyz-wing,2000000,30,66666
double,train,hidden-triple+swordfish,2000000,23,86956
double,train,naked-quad+x-wing,3000000,27,111111
double,train,hidden-pair+jellyfish,3000000,23,130434
double,train,naked-pair+naked-quad,3000000,18,166666
double,train,hidden-quad+w-wing,3000000,17,176470
double,train,hidden-quad+xy-wing,3000000,11,272727
double,train,naked-triple+naked-quad,3000000,10,300000
double,train,hidden-pair+naked-quad,6745000,13,518846
double,train,hidden-triple+naked-quad,3000000,5,600000
double,train,naked-quad+swordfish,6745000,10,674500
double,train,naked-triple+jellyfish,6945000,10,694500
double,train,hidden-quad+x-wing,6845000,7,977857
double,train,naked-quad:2,7145000,5,1429000
double,train,hidden-quad+xyz-wing,9445000,6,1574166
double,train,swordfish+jellyfish,8745000,5,1749000
double,train,x-wing+jellyfish,9445000,5,1889000
double,train,hidden-triple+jellyfish,11145000,5,2229000
double,train,hidden-quad+swordfish,12945000,2,6472500
double,train,hidden-triple+hidden-quad,12945000,1,12945000
double,train,jellyfish:2,12945000,1,12945000
double,train,naked-quad+jellyfish,12945000,1,12945000
double,train,hidden-pair+hidden-quad,12945000,0,
double,train,hidden-quad+jellyfish,12945000,0,
double,train,hidden-quad:2,12945000,0,
double,train,naked-pair+hidden-quad,12945000,0,
double,train,naked-quad+hidden-quad,12945000,0,
double,train,naked-triple+hidden-quad,12945000,0,
triple,train,w-wing:3,5000,57,87
triple,train,xy-wing:3,5000,49,102
triple,train,naked-pair+w-wing:2,205000,1531,133
triple,train,naked-pair:2+w-wing,5000,30,166
triple,train,xy-wing:2+w-wing,205000,1049,195
triple,train,xy-wing+w-wing:2,205000,1033,198
triple,train,naked-pair:3,205000,999,205
triple,train,naked-pair+xy-wing:2,205000,964,212
triple,train,naked-pair:2+xy-wing,205000,890,230
triple,train,naked-pair+xy-wing+w-wing,205000,881,232
triple,train,hidden-pair+w-wing:2,205000,595,344
triple,train,x-wing+xy-wing:2,205000,586,349
triple,train,naked-pair+x-wing+xy-wing,205000,526,389
triple,train,xyz-wing+w-wing:2,205000,427,480
triple,train,xy-wing:2+xyz-wing,205000,412,497
triple,train,naked-pair+x-wing+w-wing,205000,404,507
triple,train,x-wing+w-wing:2,205000,371,552
triple,train,naked-pair+xyz-wing+w-wing,205000,363,564
triple,train,hidden-pair:2+w-wing,205000,361,567
triple,train,naked-pair+xy-wing+xyz-wing,205000,351,584
triple,train,xy-wing+xyz-wing+w-wing,205000,345,594
triple,train,x-wing+xy-wing+w-wing,205000,319,642
triple,train,hidden-pair+xy-wing:2,205000,310,661
triple,train,hidden-pair+xy-wing+w-wing,205000,309,663
triple,train,naked-pair:2+xyz-wing,205000,305,672
triple,train,hidden-pair:3,205000,258,794
triple,train,naked-pair+hidden-pair+w-wing,205000,253,810
triple,train,hidden-pair:2+xy-wing,205000,238,861
triple,train,xy-wing+xyz-wing:2,205000,215,953
triple,train,xyz-wing:2+w-wing,205000,214,957
triple,train,naked-pair+xyz-wing:2,205000,191,1073
triple,train,x-wing+xy-wing+xyz-wing,205000,188,1090
triple,train,hidden-pair+x-wing+xy-wing,205000,180,1138
triple,train,hidden-pair+x-wing+w-wing,205000,164,1250
